date,title,organization,location
2019-03-08,Software Carpentry: R for Reproducible Scientific Analysis,UGA Institute of Bioinformatics,"Athens, Georgia"
2019-12-04,"Software Carpentry: Unix, Git, and Python",UGA Institute of Bioinformatics,"Athens, Georgia"
2020-06-15,Software Carpentry: R for Reproducible Scientific Analysis (Session A),UGA Institute of Bioinformatics,Virtual
2020-06-17,Software Carpentry: R for Reproducible Scientific Analysis (Session B),UGA Institute of Bioinformatics,Virtual
2021-01-05,Software Carpentry: Git and Python,UGA Institute of Bioinformatics,Virtual
2021-10-29,Software Carpentry: R for Reproducible Scientific Analysis,UGA Institute of Bioinformatics,"Athens, Georgia"
2021-12-02,Capacity-Building Workshop: Association Mapping in Plants,Fort Valley State University,"Fort Valley, Georgia"
2022-05-16,Data Carpentry: Genomics,UGA Institute of Bioinformatics,"Athens, Georgia"
