start,stop,role,organization,unit
2021-09-01,2023-05-30,Member,Athens Clarke County Agricultural Advisory Committee,Cedar Shoals High School
2022-01-01,,Microbiome Lead,Coordinating Committee,International Phytobiomes Alliance
2023-01-20,2023-04-15,Faculty Mentor,MAGnet mentor,Maize Genetics Meeting
2024-01-01,2024-03-15,Co-Organizer,Genetics of Maize-Microbiome Interaction Workshop,Maize Genetics Meeting
2024-06-01,,Coordinator,Genetics of Maize-Microbiome Interaction Seminar Series,GMMI community
2024-01-01,2024-11-30,Organizing Committee,Phytobiomes 2024 Conference,International Phytobiomes Alliance
2024-01-01,,Member,Microbiomes Working Group,International Phytobiomes Alliance
2024-06-01,2024-08-15,Mentor,Harvard Summer Research Institute,OpenBio / Harvard University
