start,stop,organization,location,title
2005,2006,Brigham Young University,"Provo, UT",Undergraduate research assistant
2007,2007,Bristol-Myers Squibb Pharmaceuticals,"Wallingford, CT",Graduate research intern
2006,2011,Yale University,"New Haven, CT",Graduate research assistant
2012,2015,Cornell University,"Ithaca, NY",Postdoctoral associate
2015,2020,University of Georgia – Crop & Soil Sciences,"Athens, GA",Assistant Professor
2020,Present,University of Georgia – Crop & Soil Sciences,"Athens, GA",Associate Professor
