period,year,description,doi,lab_authors
PhD,2014,Improved B. halodurans transformation,10.1111/j.1472-765X.2011.03017.x,
PhD,2014,OLE RNA-membrane association,10.1111/j.1365-2958.2010.07439.x,
PhD,2014,OLE RNA protects from alcohol toxicity,10.1093/nar/gks352,
Postdoc,2014,Entering the Second Century of Maize Quantitative Genetics,10.1038/hdy.2013.6,
Postdoc,2014,Association massping across numerous maize traits,10.1371/journal.pgen.1004845,
Assistant Professor,2015,Carbon and nitrogen GWAS in maize,10.1104/pp.15.00025,
Assistant Professor,2015,Barnyard millet genetic diversity,10.3835/plantgenome2014.10.0067,
Assistant Professor,2015,Foxtail millet genetic diversity,10.3835/plantgenome2015.07.0054,
