degree,year,location,title
Ph. D.,2011,Yale University,"Molecular, Cellular and Developmental Biology"
M. S.,2008,Yale University,"Molecular, Cellular and Developmental Biology"
B. S. ,2006,Brigham Young University,Integrative Biology
